Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
05.04.2024.,680000,172,Dubrovačko-neretvanska,Dubrovnik,Gornji Kono,5+ sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/dva-trosobna-stana-centru-dubrovnika-agencijska-preporuka-oglas-41170039
05.04.2024.,440000,50,Dubrovačko-neretvanska,Dubrovnik,Stari grad,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-nadomak-straduna-stari-grad-dubrovnik-oglas-42646172
05.04.2024.,580000,102,Dubrovačko-neretvanska,Dubrovnik,Lapad,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/luksuzan-trosoban-stan-prekrasnim-pogledom-more-dubrovnik-oglas-42101866
05.04.2024.,550000,96,Dubrovačko-neretvanska,Dubrovnik,Plo�e,2-sobni,U kući,Jednoetažni,Unknown,Unknown,2.,1968.,https://www.njuskalo.hr/nekretnine/stan-atraktivnoj-lokaciji-pogledom-lokrum-stari-grad-80-m-d-oglas-43351259
05.04.2024.,445000,130,Dubrovačko-neretvanska,�upa Dubrova�ka,Mlini,4-sobni,U kući,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/moderani-dvoetazan-stan-prekrasnim-pogledom-more-dubrovnik-mlini-oglas-40482958
05.04.2024.,233107,56,Dubrovačko-neretvanska,�upa Dubrova�ka,�iba�a,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,A,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/potpuno-renovirani-namjesteni-obiteljski-stanovi-zupa-dubrovacka-n-oglas-40473410
05.04.2024.,495000,89,Dubrovačko-neretvanska,Dubrovnik,Gru�,2-sobni,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,1969.,https://www.njuskalo.hr/nekretnine/njuskalo-oglas-40760042
05.04.2024.,115000,69,Dubrovačko-neretvanska,Metkovi�,Metkovi�,3-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,4.,1984.,https://www.njuskalo.hr/nekretnine/povoljno-trosoban-stan-metkovic-69.52m2-odlican-raspored-soba-oglas-40338704
05.04.2024.,205000,77,Dubrovačko-neretvanska,Korčula,�rnovo,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1968.,https://www.njuskalo.hr/nekretnine/prekrasan-apartman-korcula-novoureden-oglas-42845969
05.04.2024.,104999,45,Dubrovačko-neretvanska,Korčula,�rnovo,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,1968.,https://www.njuskalo.hr/nekretnine/jednostavan-simpatican-apartman-korcula-oglas-42845968
05.04.2024.,320000,66,Dubrovačko-neretvanska,�upa Dubrova�ka,Mlini,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-izuzetnim-pogledom-mlini-dubrovnik-oglas-42945082
05.04.2024.,645000,93,Dubrovačko-neretvanska,Dubrovnik,Stari grad,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/dubrovnik-stari-grad-stan-93-m2-oglas-41925125
05.04.2024.,130000,64,Dubrovačko-neretvanska,�upa Dubrova�ka,Brgat Donji,2-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,B,2.,2024.,https://www.njuskalo.hr/nekretnine/stan-brgat-donji-58.00-m2-novogradnja-oglas-40320878
04.04.2024.,440000,116,Dubrovačko-neretvanska,Korčula,�rnovo,3-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/korcula-luksuzni-pentohouse-blizini-mora-oglas-43160320
04.04.2024.,265000,82,Dubrovačko-neretvanska,Konavle,Zvekovica,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/zvekovica-ispod-magistrale-novogradnja-stambena-jedinica-82.83-m2-oglas-39674570
04.04.2024.,225000,72,Dubrovačko-neretvanska,Konavle,Zvekovica,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/zvekovica-ispod-magistrale-novogradnja-stambena-jedinica-72-m2-oglas-39674540
04.04.2024.,222000,71,Dubrovačko-neretvanska,Konavle,Zvekovica,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/zvekovica-ispod-magistrale-novogradnja-stambena-jedinica-71-m2-oglas-39674587
04.04.2024.,265000,82,Dubrovačko-neretvanska,Konavle,Zvekovica,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/zvekovica-ispod-magistrale-novogradnja-stambena-jedinica-82.83-m2-oglas-39674600
04.04.2024.,480000,101,Dubrovačko-neretvanska,Dubrovnik,Lapad,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivno-prekrasan-obiteljski-stan-terasom-parkingom-lapadu-oglas-42872256
04.04.2024.,350000,111,Dubrovačko-neretvanska,Dubrovnik - Okolica,Ro�at,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivno-trosobni-stan-novogradnji-rozatu-kraj-dubrovnika-oglas-42605620
04.04.2024.,5500,90,Dubrovačko-neretvanska,Dubrovnik,Gru�,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-luksuzni-kompleks-stanova-pogledom-gruski-akvatorij-oglas-42605619
04.04.2024.,696000,136,Dubrovačko-neretvanska,Dubrovnik - Okolica,Zaton,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2023.,https://www.njuskalo.hr/nekretnine/prekrasan-komforan-stan-novogradnji-otvorenim-pogledom-more-oglas-42481484
04.04.2024.,100000,35,Dubrovačko-neretvanska,Korčula,Korčula,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/jednosoban-stan-atraktivnoj-lokaciji-otok-korcula-oglas-42258853
04.04.2024.,280000,44,Dubrovačko-neretvanska,Dubrovnik,Stari grad,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/jednosobni-stan-izvrsnoj-lokaciji-centru-dubrovnika-nadomak-glav-oglas-39255463
04.04.2024.,3000,94,Dubrovačko-neretvanska,Ston,Ston,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2025.,https://www.njuskalo.hr/nekretnine/stan-ston-94.00-m2-novogradnja-oglas-42326434
04.04.2024.,3150,67,Dubrovačko-neretvanska,Ston,Ston,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2025.,https://www.njuskalo.hr/nekretnine/ston-novogradnja-dvosobni-stanovi-povrsine-67m2-odlicna-lokacija-oglas-42326371
04.04.2024.,3300,42,Dubrovačko-neretvanska,Ston,Ston,1-sobni,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/ston-novogradnja-jednosobni-stanovi-42-56m2-vrhunska-lokacija-oglas-42326336
04.04.2024.,225000,58,Dubrovačko-neretvanska,Dubrovnik - Okolica,Ora�ac,2-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,B,Suteren,2007.,https://www.njuskalo.hr/nekretnine/orasac-dvosobni-potpuno-renoviran-namjesten-stan-oglas-43319967
03.04.2024.,300000,60,Dubrovačko-neretvanska,Dubrovnik,Lapad,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/dubrovnik-lapad-60m2-oglas-43233549
03.04.2024.,829000,178,Dubrovačko-neretvanska,Dubrovnik,Gorica,5+ sobni,U kući,Vi�eetažni,Unknown,C,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/dubrovnik-elitni-troetazni-stan-vili-1-red-mora-oglas-32651296
03.04.2024.,437815,140,Dubrovačko-neretvanska,Korčula,Korčula,3-sobni,U stambenoj zgradi,Dvoetažni,Unknown,A+,2.,Unknown,https://www.njuskalo.hr/nekretnine/korcula-140.00-m2-novogradnja-dvoetazan-stan-pogledom-more-oglas-41093040
03.04.2024.,369000,126,Dubrovačko-neretvanska,Korčula,Korčula,3-sobni,U stambenoj zgradi,Dvoetažni,Unknown,A+,2.,Unknown,https://www.njuskalo.hr/nekretnine/korcula-126.00-m2-novogradnja-dvoetazan-cetverosoban-stan-pogled-oglas-41080531
03.04.2024.,380000,87,Dubrovačko-neretvanska,Dubrovnik,Plo�e,2-sobni,U stambenoj zgradi,Jednoetažni,Za renoviranje,Unknown,Prizemlje,1911.,https://www.njuskalo.hr/nekretnine/prostrani-stan-adaptaciju-plocama-dubrovnik-oglas-39080748
03.04.2024.,10,70,Dubrovačko-neretvanska,�upa Dubrova�ka,Mlini,2-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,Prizemlje,2022.,https://www.njuskalo.hr/nekretnine/novogradnja-dvosobni-stan-mlinima-zupa-dubrovacka-oglas-38478028
03.04.2024.,100000,30,Dubrovačko-neretvanska,Dubrovnik,Montovjerna,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-dubrovniku-oglas-43003517
03.04.2024.,800000,110,Dubrovačko-neretvanska,Dubrovnik,Lapad,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivna-prodaja-trosoban-komforan-stan-terasom-pogledom-oglas-41416239
03.04.2024.,297000,90,Dubrovačko-neretvanska,�upa Dubrova�ka,�iba�a,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/zupa-dubrovacka-cibaca-dvosoban-stan-garsonijera-parkirno-mjesto-oglas-40996632
03.04.2024.,240000,76,Dubrovačko-neretvanska,Konavle,Zvekovica,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/dubrovnik-zvekovica-novogradnja-dvosoban-stan-apartman-76.00-m2-oglas-43296975
03.04.2024.,2700,75,Dubrovačko-neretvanska,Konavle,Zvekovica,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,Unknown,https://www.njuskalo.hr/nekretnine/zvekovica-novogradnja-oglas-38591614
