Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
20.02.2024.,272350,83,Zadarska,Zadar,Melada (Maslina),3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-zadar-71.80-m2-novogradnja-oglas-41472204
17.02.2024.,252912,76,Zadarska,Zadar,Borik,2-sobni,U stambenoj zgradi,Jednoeta�ni,Nenamje�ten,A+,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-zadar-76.64-m2-novogradnja-oglas-40345417
16.02.2024.,247000,70,Zadarska,Pako�tane,Pako�tane,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-prizemlju-zgrade-blizini-mora-pakostane-b-oglas-42290165
16.02.2024.,320000,101,Zadarska,Sveti Filip I Jakov,Sveti Petar na Moru,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/luksuzni-apartman-bazenom-predivnim-pogledom-more-101-m2-oglas-41014068
16.02.2024.,283500,70,Zadarska,Pako�tane,Pako�tane,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/stan-drugom-katu-blizini-mora-pakostane-a-oglas-42259175
16.02.2024.,262000,70,Zadarska,Pako�tane,Pako�tane,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/stan-prvom-katu-blizini-mora-pakostane-b-oglas-42259171
16.02.2024.,110000,31,Zadarska,Zadar,Plovanija,Garsonijera,U stambenoj zgradi,Jednoeta�ni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/zadar-plovanija-studio-apartman-31.23-m2-novogradnja-oglas-42888384
16.02.2024.,110000,31,Zadarska,Zadar,Plovanija,Garsonijera,U stambenoj zgradi,Jednoeta�ni,Unknown,A,2.,2024.,https://www.njuskalo.hr/nekretnine/zadar-plovanija-studio-apartman-31.23-m2-novogradnja-oglas-42888383
15.02.2024.,380000,140,Zadarska,Zadar,Stanovi,4-sobni,U stambenoj zgradi,Vi�eeta�ni,Djelomi�no namje�ten,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/dva-stana-zgradi-oglas-41240493
15.02.2024.,225000,75,Zadarska,Zadar,Plovanija,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,A,2.,2024.,https://www.njuskalo.hr/nekretnine/zadar-plovanija-stan-75.58-m2-novogradnja-miran-predio-oglas-42880123
