Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors
159030,51,Splitsko-dalmatinska,Makarska,Makarska,1-sobni,U stambenoj zgradi,Jednoetažni
214675,69,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
500000,66,Splitsko-dalmatinska,Split,Grad,2-sobni,U kući,Jednoetažni
255200,110,Splitsko-dalmatinska,Trogir,Trogir,4-sobni,U stambenoj zgradi,Dvoetažni
320000,87,Splitsko-dalmatinska,Split,Lučac,4-sobni,U stambenoj zgradi,Jednoetažni
115000,40,Splitsko-dalmatinska,Split,Varoš,2-sobni,U stambenoj zgradi,Jednoetažni
420000,75,Splitsko-dalmatinska,Split,Blatine,3-sobni,U stambenoj zgradi,Jednoetažni
240000,62,Splitsko-dalmatinska,Split,Sukoišan,2-sobni,U kući,Jednoetažni
415000,73,Splitsko-dalmatinska,Split,Žnjan,2-sobni,U stambenoj zgradi,Jednoetažni
295000,100,Splitsko-dalmatinska,Solin,Japirko,3-sobni,U stambenoj zgradi,Jednoetažni
275000,58,Splitsko-dalmatinska,Split,Ravne njive,2-sobni,U stambenoj zgradi,Jednoetažni
205000,40,Splitsko-dalmatinska,Split,Dragovode,1-sobni,U stambenoj zgradi,Jednoetažni
245000,77,Splitsko-dalmatinska,Split,Sirobuja,3-sobni,U stambenoj zgradi,Jednoetažni
264000,88,Splitsko-dalmatinska,Split,Pujanke,4-sobni,U stambenoj zgradi,Jednoetažni
318400,82,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
237000,63,Splitsko-dalmatinska,Split,Sućidar,2-sobni,U stambenoj zgradi,Jednoetažni
250000,54,Splitsko-dalmatinska,Split,Žnjan,1-sobni,U stambenoj zgradi,Jednoetažni
285000,64,Splitsko-dalmatinska,Marina,Sevid,2-sobni,U stambenoj zgradi,Jednoetažni
410000,104,Splitsko-dalmatinska,Split,Duilovo,3-sobni,U stambenoj zgradi,Jednoetažni
265000,86,Splitsko-dalmatinska,Split,Mertojak,3-sobni,U stambenoj zgradi,Jednoetažni
277000,66,Splitsko-dalmatinska,Split,Bačvice,3-sobni,U stambenoj zgradi,Jednoetažni
1,71,Splitsko-dalmatinska,Split,Ravne njive,3-sobni,U stambenoj zgradi,Jednoetažni
225000,116,Splitsko-dalmatinska,Split,Visoka,2-sobni,U stambenoj zgradi,Jednoetažni
420000,70,Splitsko-dalmatinska,Split,Bačvice,2-sobni,U kući,Jednoetažni
300200,60,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
321382,63,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
465000,129,Splitsko-dalmatinska,Marina,Marina,3-sobni,U stambenoj zgradi,Višeetažni
265500,64,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Višeetažni
230000,155,Splitsko-dalmatinska,Dugi Rat,Jesenice,3-sobni,U stambenoj zgradi,Dvoetažni
411705,117,Splitsko-dalmatinska,Marina,Marina,4-sobni,U stambenoj zgradi,Jednoetažni
480865,137,Splitsko-dalmatinska,Marina,Marina,4-sobni,U stambenoj zgradi,Jednoetažni
474355,135,Splitsko-dalmatinska,Marina,Marina,4-sobni,U stambenoj zgradi,Jednoetažni
455000,129,Splitsko-dalmatinska,Marina,Marina,3-sobni,U stambenoj zgradi,Višeetažni
231000,62,Splitsko-dalmatinska,Split,Dragovode,3-sobni,U stambenoj zgradi,Jednoetažni
235000,73,Splitsko-dalmatinska,Podstrana,Podstrana,3-sobni,U stambenoj zgradi,Višeetažni
460000,106,Splitsko-dalmatinska,Podstrana,Podstrana,3-sobni,U stambenoj zgradi,Višeetažni
320000,63,Splitsko-dalmatinska,Trogir - Okolica,Žedno,2-sobni,U stambenoj zgradi,Jednoetažni
425000,136,Splitsko-dalmatinska,Marina,Marina,3-sobni,U stambenoj zgradi,Višeetažni
267000,75,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
